Year,Name,College,POS,ProDay/Combine,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Started
2019,Kyle Kempt,Iowa State,QB,ProDay,76.25,225,NA,4.91,NA,27,113,4.51,7.26,No
2019,T.J. Linta,Wagner (NY),QB,Both,75.25,233,NA,5.22,NA,NA,NA,4.68,NA,No
2019,Drew Lock,Missouri,QB,Combine,75.75,228,NA,4.69,NA,31,112,4.12,7.03,Yes
2019,Tanner Mangum,Brigham Young,QB,ProDay,74.13,203,NA,4.9,NA,28,110,4.41,7.2,No
2019,Jalan McClendon,Baylor,QB,ProDay,76.5,222,NA,4.82,NA,31.5,114,4.4,7.09,No
2019,Marcus McMaryion,Frenso State (CA),QB,Both,72.75,206,NA,4.76,NA,35,110,4.32,NA,No
2019,Trace McSorley,Penn State,QB,Combine,72.13,202,NA,4.57,NA,33,115,4.12,7.09,Yes
2019,Gardner Minshew,Washington State,QB,Combine,72.88,225,NA,4.97,NA,33.5,116,4.45,7.14,No
2019,Kyler Murray,Oklahoma,QB,Combine,70.13,207,NA,NA,NA,NA,NA,NA,NA,Yes
2019,Malik Rosier,Miami (FL),QB,ProDay,72,224,NA,4.75,NA,28.5,103,4.63,7.68,No
2019,Brett Rypien,Boise State,QB,Combine,73.75,210,NA,4.91,NA,33,116,4.29,7.1,No
2019,Michael Scarnecchia,South Carolina,QB,ProDay,75.25,213,NA,4.94,NA,29,114,4.9,7.5,No
2019,Kyle Shurmur,Vanderbilt,QB,Combine,76,230,NA,4.91,NA,29.5,106,4.53,7.51,No
2019,Wilton Speight,UCLA,QB,Both,78.63,232,NA,4.89,NA,NA,NA,NA,NA,No
2019,Easton Stick,North Dakota State,QB,Combine,73.25,224,NA,4.62,NA,33.5,118,4.05,6.65,Yes
2019,Jarrett Stidham,Auburn,QB,Combine,74.38,218,NA,4.81,NA,31,110,4.33,7.28,Yes
2019,Brent Stockstill,Middle Tennessee State,QB,Both,71.63,210,NA,4.79,NA,24.5,108,NA,NA,No
2019,Jordan Ta'amu-Perifanos,Mississippi,QB,Combine,74.63,221,NA,4.77,NA,27.5,109,4.36,7.06,No
2019,Clayton Thorson,Northwestern,QB,Combine,76,222,NA,NA,NA,NA,NA,NA,NA,No
2019,Tyler Wiegers,Eastern Michigan,QB,ProDay,75,224,NA,5.05,NA,29,105,4.53,7.45,No
2019,Manny Wilkins,Arizona State,QB,Both,74,193,NA,4.84,NA,33,119,NA,NA,No
2018,Austin Allen,Arkansas,QB,Combine,72.38,210,NA,4.81,NA,29.5,112,4.48,7.18,No
